gene	logFC	logCPM	LR	PValue	FDR
fig|6666666.230262.peg.3709	1.473259998	4.756103533	27.98751082	1.22E-07	2.17E-06
fig|6666666.230262.peg.1142	-0.614051052	8.08880882	27.86116341	1.30E-07	2.30E-06
fig|6666666.230262.peg.2747	0.448650949	9.87940377	27.69476944	1.42E-07	2.50E-06
fig|6666666.230262.peg.182	0.533754803	8.807844174	27.67406633	1.44E-07	2.52E-06
fig|6666666.230262.peg.2267	0.871474869	15.98545151	27.60184227	1.49E-07	2.60E-06
fig|6666666.230262.peg.1314	0.60408537	7.625210289	27.59881751	1.49E-07	2.60E-06
fig|6666666.230262.peg.1211	0.761792029	6.880299154	27.4943648	1.58E-07	2.73E-06
fig|6666666.230262.peg.2180	-1.734946316	4.84598314	27.42838823	1.63E-07	2.81E-06
fig|6666666.230262.peg.3512	0.66722946	7.955911922	27.286551	1.75E-07	3.02E-06
fig|6666666.230262.peg.2616	-1.199657926	7.063876218	27.2168154	1.82E-07	3.11E-06
fig|6666666.230262.peg.1035	-1.279410635	5.699336958	27.09556412	1.94E-07	3.30E-06
fig|6666666.230262.peg.4363	0.683955373	11.46536054	27.08308429	1.95E-07	3.31E-06
fig|6666666.230262.peg.2816	0.661731712	8.110710411	26.95132084	2.09E-07	3.53E-06
fig|6666666.230262.peg.5	-0.53004553	9.385255986	26.84774228	2.20E-07	3.71E-06
fig|6666666.230262.peg.2965	-0.681991995	7.393483477	26.80754262	2.25E-07	3.77E-06
fig|6666666.230262.peg.2430	-0.589050727	10.28226528	26.7976139	2.26E-07	3.78E-06
fig|6666666.230262.peg.3041	-0.521124849	8.81204743	26.69191317	2.39E-07	3.98E-06
fig|6666666.230262.peg.1901	0.587825532	8.309591799	26.60359554	2.50E-07	4.15E-06
fig|6666666.230262.peg.2515	-0.450346074	9.79694242	26.51464106	2.62E-07	4.32E-06
fig|6666666.230262.peg.4160	0.835556767	6.425953616	26.50535467	2.63E-07	4.33E-06
fig|6666666.230262.peg.4244	0.488233219	9.567474564	26.35422068	2.84E-07	4.66E-06
fig|6666666.230262.peg.3158	0.811705602	6.334199788	26.21354202	3.06E-07	5.00E-06
fig|6666666.230262.peg.1819	0.816610437	6.251597481	26.13235606	3.19E-07	5.19E-06
fig|6666666.230262.peg.3303	0.665712665	8.195670411	25.91386144	3.57E-07	5.79E-06
fig|6666666.230262.peg.3734	-0.611829061	7.733494543	25.83363004	3.72E-07	6.02E-06
fig|6666666.230262.peg.2508	-1.26854823	5.535102168	25.77158258	3.84E-07	6.19E-06
fig|6666666.230262.peg.3741	-0.971805905	6.614615444	25.59480014	4.21E-07	6.76E-06
fig|6666666.230262.peg.1349	1.098653695	7.009211874	25.51325094	4.39E-07	7.02E-06
fig|6666666.230262.peg.606	0.606444548	7.361827994	25.49532609	4.43E-07	7.06E-06
fig|6666666.230262.peg.3867	-0.60555696	12.42699164	25.29376731	4.92E-07	7.79E-06
fig|6666666.230262.peg.2927	0.50813571	11.03213459	25.29135651	4.93E-07	7.79E-06
fig|6666666.230262.peg.133	0.741185853	7.72018249	25.12682185	5.37E-07	8.46E-06
fig|6666666.230262.peg.3872	0.446285379	10.59349316	24.99778193	5.74E-07	9.01E-06
fig|6666666.230262.peg.3555	0.837147899	13.82087865	24.99068585	5.76E-07	9.01E-06
fig|6666666.230262.peg.2110	0.514622136	8.62432525	24.93876322	5.92E-07	9.22E-06
fig|6666666.230262.peg.2700	0.500042775	9.38245842	24.93070328	5.94E-07	9.23E-06
fig|6666666.230262.peg.300	0.506483734	8.295781557	24.91331075	6.00E-07	9.28E-06
fig|6666666.230262.peg.2934	0.510842543	8.158442605	24.85994366	6.17E-07	9.50E-06
fig|6666666.230262.peg.1083	0.513158027	9.605008696	24.68590825	6.75E-07	1.04E-05
fig|6666666.230262.peg.2200	0.688288796	7.019247671	24.6656808	6.82E-07	1.04E-05
fig|6666666.230262.peg.3337	0.713466177	7.923523033	24.60424996	7.04E-07	1.07E-05
fig|6666666.230262.peg.1506	-0.616045755	7.808858921	24.56995754	7.17E-07	1.09E-05
fig|6666666.230262.peg.2857	0.829403289	6.35836155	24.54759251	7.25E-07	1.10E-05
fig|6666666.230262.peg.3740	-0.688527779	7.53413226	24.31861719	8.16E-07	1.23E-05
fig|6666666.230262.peg.1358	0.813172291	6.19373848	24.25187781	8.45E-07	1.27E-05
